onnx_file,vnnlib_file,verdict,coverage,q,epsilon_total,delta_total,train_s,verify_s,total_s,cex_x,cex_y,error
ACASXU_run2a_1_1_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9995,5.8479,0.0045,0.9960,30.0,0.1,30.1,,,
ACASXU_run2a_1_2_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,7.0719,0.0045,0.9960,24.8,0.1,25.0,,,
ACASXU_run2a_1_3_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,4.7909,0.0045,0.9960,24.1,0.1,24.2,,,
ACASXU_run2a_1_4_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9990,5.5124,0.0045,0.9960,24.2,0.1,24.3,,,
ACASXU_run2a_1_5_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,12.7506,0.0045,0.9960,25.3,0.1,25.4,,,
ACASXU_run2a_1_6_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,5.8861,0.0045,0.9960,25.0,0.1,25.1,,,
ACASXU_run2a_1_7_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9995,6.0732,0.0045,0.9960,24.2,0.1,24.3,,,
ACASXU_run2a_1_8_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,5.6334,0.0045,0.9960,24.1,0.1,24.2,,,
ACASXU_run2a_1_9_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9995,5.1728,0.0045,0.9960,24.4,0.1,24.5,,,
ACASXU_run2a_2_1_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,6.6713,0.0045,0.9960,24.3,0.1,24.4,,,
ACASXU_run2a_2_2_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9990,8.9564,0.0045,0.9960,24.2,0.1,24.3,,,
ACASXU_run2a_2_3_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,7.6354,0.0045,0.9960,25.2,0.1,25.3,,,
ACASXU_run2a_2_4_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9995,6.5037,0.0045,0.9960,24.1,0.1,24.2,,,
ACASXU_run2a_2_5_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,21.7043,0.0045,0.9960,25.6,0.1,25.7,,,
